
2026-01-29T18:29:35.766630788+05:30 | enp2s0 | interval_sent=2242 | interval_received=3701
2026-01-29T18:29:35.780860559+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:29:35.780920970+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:29:35.780944855+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:29:40.781685362+05:30 | enp2s0 | interval_sent=142 | interval_received=0
2026-01-29T18:29:40.781763302+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:29:40.781788793+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:29:40.781812259+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:29:45.782566951+05:30 | enp2s0 | interval_sent=0 | interval_received=670
2026-01-29T18:29:45.782647266+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:29:45.782672897+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:29:45.782696573+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:29:50.783957521+05:30 | enp2s0 | interval_sent=0 | interval_received=0
2026-01-29T18:29:50.784054248+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:29:50.784092450+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:29:50.784173743+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:29:55.785035261+05:30 | enp2s0 | interval_sent=1944 | interval_received=754
2026-01-29T18:29:55.785157340+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:29:55.785588736+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:29:55.785647052+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:30:00.786791939+05:30 | enp2s0 | interval_sent=0 | interval_received=0
2026-01-29T18:30:00.786904310+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:30:00.786958994+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:30:00.787003062+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:30:05.787927625+05:30 | enp2s0 | interval_sent=0 | interval_received=896
2026-01-29T18:30:05.788032454+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:30:05.788069887+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:30:05.788141752+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:30:10.789269689+05:30 | enp2s0 | interval_sent=0 | interval_received=0
2026-01-29T18:30:10.789371445+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:30:10.789408948+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:30:10.789444427+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:30:15.790398870+05:30 | enp2s0 | interval_sent=0 | interval_received=2281
2026-01-29T18:30:15.790511661+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:30:15.790573259+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:30:15.790628572+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:30:20.791591368+05:30 | enp2s0 | interval_sent=0 | interval_received=0
2026-01-29T18:30:20.791696755+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:30:20.791759052+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:30:20.791813177+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:30:25.792767410+05:30 | enp2s0 | interval_sent=0 | interval_received=638
2026-01-29T18:30:25.792879851+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:30:25.793290087+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:30:25.793367050+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:30:30.794322693+05:30 | enp2s0 | interval_sent=0 | interval_received=0
2026-01-29T18:30:30.794435693+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:30:30.794806469+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:30:30.794875959+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:30:35.795814910+05:30 | enp2s0 | interval_sent=0 | interval_received=698
